LBL_RSX;RSX;NON_INVENTORIE;
"DEPPEN - PENITENCIARIA ESTADUAL THIAGO BORGES DE CARVALHO";"10.37.27.0";"17";
"DEPPEN - PENITENCIARIA CENTRAL DO ESTADO II - UNIDADE DE SEGURANÇA";"10.37.3.0";"11";
"DEPPEN - PENITENCIARIA ESTADUAL DE LONDRINA II";"10.37.22.0";"10";
"DEPPEN - PENITENCIARIA ESTADUAL DE LONDRINA III";"10.37.90.0";"9";
"DEPPEN - PENITENCIARIA ESTADUAL DE FOZ DO IGUAÇU";"10.37.11.0";"9";
"DEPPEN - PENITENCIARIA ESTADUAL DE FOZ DO IGUAÇU II";"10.37.29.0";"8";
"DEPPEN - PENITENCIARIA ESTADUAL DE FRANCISCO BELTRAO";"10.37.25.0";"8";
"DEPPEN - PENITENCIARIA ESTADUAL DE LONDRINA I";"10.37.5.0";"7";
"DEPPEN - CADEIA PUBLICA DE FOZ DO IGUAÇU LAUDEMIR NEVES";"10.37.33.0";"7";
"DEPPEN - PENITENCIARIA ESTADUAL DE MARINGA";"10.37.4.0";"7";
"DEPPEN - CENTRO DE REINTEGRAÇAO SOCIAL DE LONDRINA";"10.37.75.0";"7";
"DEPPEN - PENITENCIARIA ESTADUAL CRUZEIRO DO OESTE";"10.37.32.0";"6";
"DEPPEN - PENITENCIARIA INDUSTRIAL MARCELO PINHEIRO CASCAVEL";"10.37.9.0";"6";
"DEPPEN - CADEIA PUBLICA DE GUARAPUAVA";"10.37.82.0";"5";
"DEPPEN - PENITENCIARIA ESTADUAL DE PIRAQUARA I";"10.37.10.0";"4";
"DEPPEN - CADEIA PUBLICA FEMININA DE LONDRINA";"10.37.58.0";"4";
"DEPPEN - COMPLEXO SOCIAL DE CAMPO MOURAO";"10.37.76.0";"4";
"DEPPEN - COMPLEXO SOCIAL DE FRANCISCO BELTRAO";"10.37.42.0";"4";
"DEPPEN - PENITENCIARIA ESTADUAL DE PONTA GROSSA I – UNIDADE DE SEGURANÇA";"10.37.15.0";"4";
"DEPPEN - SEDE";"10.37.1.0";"4";
"DEPPEN - COLONIA PENAL AGROINDUSTRIAL DO ESTADO DO PARANA";"10.37.14.0";"4";
"DEPPEN - CADEIA PUBLICA DE CAMPO MOURAO II";"10.37.68.0";"4";
"DEPPEN - CADEIA PUBLICA DE PATO BRANCO";"10.37.116.0";"3";
"DEPPEN - COMPLEXO SOCIAL DE CURITIBA";"10.37.24.0";"3";
"DEPPEN - CASA DE CUSTODIA DE CURITIBA";"10.37.12.0";"3";
"DEPPEN - COMPLEXO SOCIAL DE MARINGA";"10.37.70.0";"3";
"DEPPEN - CADEIA PUBLICA DE CAMBE";"10.37.78.0";"3";
"DEPPEN - CENTRO DE REGIME SEMIABERTO DA LAPA";"10.37.31.0";"3";
"DEPPEN - CADEIA PUBLICA DE PALOTINA";"10.37.86.0";"3";
"DEPPEN - COMPLEXO MEDICO PENAL";"10.37.7.0";"3";
"DEPPEN - COMPLEXO SOCIAL DE CRUZEIRO DO OESTE";"10.37.73.0";"3";
"DEPPEN - CASA DE CUSTODIA DE MARINGA";"10.37.26.0";"2";
"DEPPEN - CADEIA PUBLICA DE PRUDENTOPOLIS";"10.37.125.0";"2";
"DEPPEN - COMPLEXO SOCIAL DE PONTA GROSSA";"10.37.39.0";"2";
"DEPPEN - CADEIA PUBLICA DE PALMAS";"10.37.101.0";"2";
"DEPPEN - CADEIA PUBLICA DE PARANAGUA";"10.37.52.0";"2";
"DEPPEN - DIVISAO DE OPERAÇOES DE SEGURANÇA";"10.37.40.0";"2";
"DEPPEN - CASA DE CUSTODIA DE LONDRINA";"10.37.8.0";"2";
"DEPPEN - UNIDADE DE PROGRESSAO DE PONTA GROSSA";"10.37.44.0";"2";
"DEPPEN - CASA DE CUSTODIA DE SAO JOSE DOS PINHAIS";"10.37.18.0";"2";
"DEPPEN - PENITENCIARIA INDUSTRIAL DE GUARAPUAVA";"10.37.2.0";"2";
"DEPPEN - PENITENCIARIA ESTADUAL DE GUARAPUAVA - UNIDADE DE PROGRESSAO";"10.37.23.0";"2";
"DEPPEN - CADEIA PUBLICA DE MARINGA";"10.37.119.0";"2";
"DEPPEN - PENITENCIARIA FEMININA DE PIRAQUARA";"10.37.13.0";"2";
"DEPPEN - COMPLEXO SOCIAL DE CASCAVEL";"10.37.38.0";"2";
"DEPPEN - CADEIA PUBLICA DE CAMPO MOURAO I";"10.37.136.0";"2";
"DEPPEN - CADEIA PUBLICA DE CIANORTE";"10.37.100.0";"2";
"DEPPEN - COLONIA PENAL INDUSTRIAL DE MARINGA";"10.37.47.0";"2";
"DEPPEN - CASA DE CUSTÓDIA DE ARAPONGAS";"10.37.55.0";"2";
"DEPPEN - PENITENCIARIA ESTADUAL DE PONTA GROSSA II – LODEVAL SANTOS RIBAS – UNIDADE DE SEGURANÇA";"10.37.95.0";"2";
"DEPPEN - PENITENCIARIA ESTADUAL DE FOZ DO IGUAÇU III";"10.37.77.0";"2";
"DEPPEN - CADEIA PUBLICA DE SARANDI";"10.37.144.0";"1";
"DEPPEN - CADEIA PUBLICA DE TOLEDO";"10.37.107.0";"1";
"DEPPEN - PENITENCIARIA ESTADUAL DE PIRAQUARA II";"10.37.19.0";"1";
"DEPPEN - CADEIA PUBLICA DE UNIAO DA VITORIA";"10.37.127.0";"1";
"DEPPEN - COMPLEXO SOCIAL DE FOZ DO IGUAÇU";"10.37.35.0";"1";
"DEPPEN - CORREGEDORIA - DEPPEN";"10.37.129.0";"1";
"DEPPEN - PENITENCIARIA CENTRAL DO ESTADO – UNIDADE DE PROGRESSAO";"10.37.48.0";"1";
"DEPPEN - CADEIA PUBLICA DE CAMBARA";"10.37.85.0";"1";
"DEPPEN - CADEIA PUBLICA DE GUARATUBA";"10.37.87.0";"1";
"DEPPEN - COMPLEXO SOCIAL DE GUARAPUAVA";"10.37.56.0";"1";
"DEPPEN - CADEIA PUBLICA DE MEDIANEIRA";"10.37.92.0";"1";
"DEPPEN - PENITENCIARIA FEMININA DE FOZ DO IGUAÇU – UNIDADE DE PROGRESSAO";"10.37.69.0";"1";
"DEPPEN - CADEIA PUBLICA DE ARAUCARIA";"10.37.83.0";"1";
"DEPPEN - COMPLEXO SOCIAL DE LONDRINA";"10.37.21.0";"1";
"DEPPEN - CASA DE CUSTODIA DE PIRAQUARA  / CENTRO DE OBSERVAÇAO CRIMINOLOGICA E TRIAGEM";"10.37.36.0";"1";
"DEPPEN - CADEIA PUBLICA DE UMUARAMA";"10.37.134.0";"1";
"DEPPEN - COMPLEXO SOCIAL DE TOLEDO";"10.37.84.0";"1";
"DEPPEN - CADEIA PUBLICA DE PARANACITY";"10.37.88.0";"1";
"DEPPEN - PENITENCIARIA ESTADUAL DE FOZ DO IGUAÇU IV";"10.37.93.0";"1";
"DEPPEN - CADEIA PUBLICA DE CURITIBA";"10.37.80.0";"1";
"DEPPEN - Nova Londrina";"10.37.45.0";"1";
"DEPPEN - CADEIA PUBLICA DE LOANDA";"10.37.105.0";"";
"DEPPEN - PAM cascavel";"10.37.147.0";"";
"DEPPEN - CADEIA PUBLICA DE TELEMACO BORBA";"10.37.109.0";"";
"DEPPEN - CADEIA PUBLICA DE BANDEIRANTES";"10.37.16.0";"";
"DEPPEN - CADEIA PUBLICA DE IPORA";"10.37.110.0";"";
"DEPPEN - CADEIA PUBLICA DE PONTA GROSSA HILDEBRANDO DE SOUZA";"10.37.172.0";"";
"DEPPEN - CADEIA PUBLICA DE FRANCISCO BELTRAO";"10.37.112.0";"";
"DEPPEN - CADEIA PUBLICA DE CAPANEMA";"10.37.114.0";"";
"DEPPEN - CADEIA PUBLICA DE RIO NEGRO";"10.37.20.0";"";
"DEPPEN - CADEIA PUBLICA DE SENGES";"10.37.118.0";"";
"DEPPEN - CADEIA PUBLICA DE IRATI";"10.37.121.0";"";
"DEPPEN - CADEIA PUBLICA DE PINHAO";"10.37.123.0";"";
"DEPPEN - CADEIA PUBLICA DE WENCESLAU BRAZ";"10.37.30.0";"";
"DEPPEN - CADEIA PUBLICA DE CAMPINA DA LAGOA";"10.37.37.0";"";
"DEPPEN - PENITENCIARIA DE INTEGRAÇAO SOCIAL DE PIRAQUARA";"10.37.130.0";"";
"DEPPEN - CADEIA PUBLICA DE GOIOERE";"10.37.133.0";"";
"DEPPEN - CADEIA PUBLICA DE CIDADE GAUCHA";"10.37.135.0";"";
"DEPPEN - CADEIA PUBLICA DE ALTO PARANA";"10.37.137.0";"";
"DEPPEN - CADEIA PUBLICA DE JANDAIA DO SUL";"10.37.140.0";"";
"DEPPEN - CADEIA PUBLICA DE ASSIS CHATEAUBRIAND";"10.37.103.0";"";
"DEPPEN - CADEIA PUBLICA DE NOVA ESPERANÇA";"10.37.142.0";"";
"DEPPEN - CADEIA PUBLICA DE CAMPO LARGO";"10.37.89.0";"";
"DEPPEN - ESCOLA PENITENCIARIA";"10.37.54.0";"";
"DEPPEN - CADEIA PUBLICA DE IBIPORA";"10.37.94.0";"";
"DEPPEN - UNIDADE DE PROGRESSAO DE PARANAVAI";"10.37.6.0";"";
"DEPPEN - CADEIA PUBLICA DE RESERVA";"10.37.96.0";"";
"DEPPEN - CADEIA PUBLICA DE MANDAGUARI";"10.37.61.0";"";
"DEPPEN - CADEIA PUBLICA DE PORECATU";"10.37.98.0";"";
"DEPPEN - CADEIA PUBLICA DE CORNELIO PROCOPIO";"10.37.63.0";"";
"DEPPEN - CADEIA PUBLICA DE NOVA ESPERANÇA";"10.66.145.0";"";
"DEPPEN - ALMOXARIFADO E PATRIMONIO";"10.37.65.0";"";
"DEPPEN - CADEIA PUBLICA DE ENGENHEIRO BELTRAO";"10.66.188.0";"";
"DEPPEN - ESCRITORIO DA REGIONAL DE CASCAVEL";"10.37.67.0";"";
"DEPPEN - CADEIA PUBLICA DE SARANDI";"10.66.52.0";"";
"DEPPEN - CADEIA PUBLICA DE UMUARAMA";"10.66.77.0";"";
"DEPPEN - CADEIA PUBLICA DE CASCAVEL";"10.37.72.0";"";
"DEPPEN - CADEIA PUBLICA DE SANTO ANTONIO DA PLATINA";"10.37.74.0";"";
"DEPPEN - CADEIA PUBLICA DE CASTRO";"10.37.81.0";"";
"DEPPEN - CADEIA PUBLICA DE JAGUARIAIVA";"10.37.46.0";"";
"DEPPEN - CADEIA PUBLICA DE MARIALVA";"10.37.104.0";"";
"DEPPEN - CADEIA PUBLICA DE PARANAVAI";"10.37.143.0";"";
"DEPPEN - CENTRAL INTEGRADA DE ALTERNATIVAS PENAIS - CIAP";"10.37.106.0";"";
"DEPPEN - DEPPEN - REGIONAL DE FRANCISCO BELTÃO";"10.37.146.0";"";
"DEPPEN - POSTO AVANÇADO DO ESCRITORIO SOCIAL DE SANTO ANTONIO DA PLATINA";"10.37.108.0";"";
"DEPPEN - CADEIA PUBLICA DE COLOMBO";"10.37.17.0";"";
"DEPPEN - CADEIA PUBLICA DE APUCARANA";"10.37.111.0";"";
"DEPPEN - CADEIA PUBLICA DE DOIS VIZINHOS";"10.37.113.0";"";
"DEPPEN - CADEIA PUBLICA DE SANTO ANTONIO DO SUDOESTE";"10.37.115.0";"";
"DEPPEN - CADEIA PUBLICA DE ORTIGUEIRA";"10.37.117.0";"";
"DEPPEN - CADEIA PUBLICA DE QUEDAS DO IGUAÇU";"10.37.120.0";"";
"DEPPEN - CADEIA PUBLICA DE MANOEL RIBAS";"10.37.122.0";"";
"DEPPEN - CADEIA PUBLICA DE PITANGA";"10.37.124.0";"";
"DEPPEN - CADEIA PUBLICA DE SAO MATEUS DO SUL";"10.37.126.0";"";
"DEPPEN - CADEIA PUBLICA DE FAXINAL";"10.37.128.0";"";
"DEPPEN - CADEIA PUBLICA DE ALTONIA";"10.37.131.0";"";
"DEPPEN - CADEIA PUBLICA MARECHAL CANDIDO RONDON";"10.37.102.0";"";
"DEPPEN - CADEIA PUBLICA DE MANDAGUAÇU";"10.37.141.0";"";
"DEPPEN - CADEIA PUBLICA DE ARAPOTI";"10.37.49.0";"";
"DEPPEN - CADEIA PUBLICA DE LARANJEIRAS DO SUL";"10.37.51.0";"";
"DEPPEN - CADEIA PUBLICA DE CORBELIA";"10.37.53.0";"";
"DEPPEN - CADEIA PUBLICA DE CARLOPOLIS";"10.37.91.0";"";
"DEPPEN - CADEIA PUBLICA DE JACAREZINHO";"10.37.57.0";"";
"DEPPEN - CENTRO INTEGRADO DE TRIAGEM DE LONDRINA";"10.37.59.0";"";
"DEPPEN - CADEIA PUBLICA DE ROLANDIA";"10.37.60.0";"";
"DEPPEN - CADEIA PUBLICA DE IVAIPORA";"10.37.97.0";"";
"DEPPEN - CADEIA PUBLICA DE ANDIRA";"10.37.62.0";"";
"DEPPEN - CADEIA PUBLICA DE ASTORGA";"10.37.99.0";"";
"DEPPEN - CADEIA PUBLICA DE IBAITI";"10.37.64.0";"";
"DEPPEN - CADEIA PUBLICA DE MANDAGUAÇU";"10.66.172.0";"";
"DEPPEN - CENTRO DE REINTEGRAÇAO SOCIAL DE ASSAI";"10.37.66.0";"";
"DEPPEN - CADEIA PUBLICA DE COLORADO";"10.66.226.0";"";
"DEPPEN - CADEIA PUBLICA DE NOVA LONDRINA";"10.66.75.0";"";
"DEPPEN - CADEIA PUBLICA DE JANDAIA DO SUL";"10.69.30.0";"";
"DEPPEN - PENITENCIARIA ESTADUAL DE GUAIRA";"10.37.71.0";"";
"DEPPEN - CENTRAL DE CREDENCIAIS DE VISITAS - CASCAVEL";"10.37.41.0";"";
"DEPPEN - COMPLEXO SOCIAL DE PARANAVAI";"10.37.79.0";"";
"DEPPEN - CENTRO DE INTEGRAÇAO SOCIAL DE PIRAQUARA";"10.37.43.0";"";